Winning team,Winning team score,Losing team,Losing team score,Map,Player,ACS,Kills,Deaths,Assists,KAST,ADR
Sentinels,2,FURIA,1,2 Breeze,TenZ,270,22,/ 17 /,3,74%,171
Sentinels,2,FURIA,1,3 Haven,TenZ,267,22,/ 16 /,3,68%,166
Envy,2,Sentinels,0,1 Haven,TenZ,287,30,/ 17 /,5,68%,166
Envy,2,Sentinels,0,2 Split,TenZ,157,8,/ 18 /,4,45%,121
Sentinels,2,F4Q,1,1 Breeze,TenZ,391,24,/ 7 /,4,88%,252
Sentinels,2,F4Q,1,2 Split,TenZ,174,14,/ 19 /,2,59%,107
Sentinels,2,F4Q,1,3 Haven,TenZ,303,18,/ 14 /,5,88%,181
G2 Esports,2,Sentinels,0,1 Icebox,TenZ,201,10,/ 14 /,3,50%,140
G2 Esports,2,Sentinels,0,2 Split,TenZ,208,17,/ 22 /,5,63%,132
Sentinels,2,F4Q,0,1 Split,TenZ,290,22,/ 16 /,8,86%,196
Sentinels,2,F4Q,0,2 Breeze,TenZ,478,32,/ 7 /,1,88%,283
Sentinels,2,G2 Esports,1,1 Split,TenZ,169,11,/ 10 /,4,79%,107
Sentinels,2,G2 Esports,1,2 Icebox,TenZ,327,24,/ 14 /,4,90%,212
Sentinels,2,G2 Esports,1,3 Haven,TenZ,249,19,/ 8 /,2,86%,142
Sentinels,3,100 Thieves,1,1 Bind,TenZ,289,26,/ 14 /,6,75%,163
Sentinels,3,100 Thieves,1,2 Breeze,TenZ,265,22,/ 17 /,2,67%,156
Sentinels,3,100 Thieves,1,3 Haven,TenZ,164,11,/ 11 /,3,68%,109
Sentinels,3,100 Thieves,1,4 Split,TenZ,250,14,/ 13 /,9,83%,163
Sentinels,2,100 Thieves,0,1 Split,TenZ,246,14,/ 2 /,5,93%,150
Sentinels,2,100 Thieves,0,2 Haven,TenZ,233,20,/ 14 /,5,81%,132
Sentinels,2,Envy,0,1 Icebox,TenZ,333,29,/ 17 /,5,67%,190
Sentinels,2,Envy,0,2 Haven,TenZ,208,16,/ 21 /,8,63%,121
Sentinels,2,Rise,1,1 Breeze,TenZ,188,12,/ 8 /,2,75%,114
Sentinels,2,Rise,1,2 Ascent,TenZ,132,10,/ 16 /,3,55%,73
Sentinels,2,Rise,1,3 Bind,TenZ,339,21,/ 9 /,8,88%,211
Sentinels,3,XSET,1,1 Haven,TenZ,186,13,/ 19 /,7,59%,111
Sentinels,3,XSET,1,2 Breeze,TenZ,244,17,/ 11 /,7,90%,151
Sentinels,3,XSET,1,3 Icebox,TenZ,267,23,/ 19 /,2,54%,172
Sentinels,3,XSET,1,4 Ascent,TenZ,370,30,/ 17 /,5,65%,186
Sentinels,2,100 Thieves,0,1 Haven,TenZ,312,30,/ 18 /,9,86%,191
Sentinels,2,100 Thieves,0,2 Breeze,TenZ,285,20,/ 14 /,8,81%,165
Sentinels,2,Envy,0,1 Breeze,TenZ,160,13,/ 16 /,1,48%,90
Sentinels,2,Envy,0,2 Bind,TenZ,347,25,/ 12 /,6,95%,205
Sentinels,2,Pioneers,0,1 Haven,TenZ,325,26,/ 15 /,1,77%,207
Sentinels,2,Pioneers,0,2 Bind,TenZ,331,21,/ 10 /,7,89%,211
XSET,2,Sentinels,1,1 Haven,TenZ,233,19,/ 16 /,0,59%,140
XSET,2,Sentinels,1,2 Icebox,TenZ,377,31,/ 15 /,6,88%,217
XSET,2,Sentinels,1,3 Split,TenZ,239,17,/ 16 /,3,62%,137
Sentinels,2,Gen.G,1,1 Bind,TenZ,213,20,/ 19 /,2,63%,137
Sentinels,2,Gen.G,1,2 Icebox,TenZ,310,24,/ 13 /,3,75%,188
Sentinels,2,Gen.G,1,3 Haven,TenZ,216,16,/ 17 /,3,64%,116
Sentinels,2,Soniqs,1,1 Icebox,TenZ,198,12,/ 16 /,5,65%,136
Sentinels,2,Soniqs,1,2 Bind,TenZ,191,12,/ 14 /,5,72%,123
Sentinels,2,Soniqs,1,3 Haven,TenZ,356,21,/ 12 /,4,83%,199
Sentinels,2,Evil Geniuses,0,1 Icebox,TenZ,303,24,/ 16 /,8,87%,169
