Agent,Player team,Opposite team,Winning team,Winning team score,Losing team,Losing team score,Map,Player,ACS,Kills,Deaths,Assists,KAST,ADR
jett,Sentinels,KRÜ Esports,KRÜ Esports,2,Sentinels,1,3 Split,TenZ,119,9,/ 20 /,7,54%,92
jett,Sentinels,Team Liquid,Team Liquid,2,Sentinels,1,1 Breeze,TenZ,163,14,/ 21 /,4,50%,110
jett,Sentinels,Team Liquid,Team Liquid,2,Sentinels,1,2 Bind,TenZ,369,21,/ 6 /,2,80%,211
jett,Sentinels,Team Liquid,Team Liquid,2,Sentinels,1,3 Split,TenZ,141,12,/ 20 /,2,65%,102
jett,Sentinels,FURIA,Sentinels,2,FURIA,1,1 Ascent,TenZ,262,21,/ 16 /,5,77%,179
jett,Sentinels,FURIA,Sentinels,2,FURIA,1,2 Breeze,TenZ,270,22,/ 17 /,3,74%,171
jett,Sentinels,FURIA,Sentinels,2,FURIA,1,3 Haven,TenZ,267,22,/ 16 /,3,68%,166
jett,Sentinels,Envy,Envy,2,Sentinels,0,1 Haven,TenZ,287,30,/ 17 /,5,68%,166
raze,Sentinels,Envy,Envy,2,Sentinels,0,2 Split,TenZ,157,8,/ 18 /,4,45%,121
jett,Sentinels,F4Q,Sentinels,2,F4Q,1,1 Breeze,TenZ,391,24,/ 7 /,4,88%,252
reyna,Sentinels,F4Q,Sentinels,2,F4Q,1,2 Split,TenZ,174,14,/ 19 /,2,59%,107
jett,Sentinels,F4Q,Sentinels,2,F4Q,1,3 Haven,TenZ,303,18,/ 14 /,5,88%,181
reyna,Sentinels,G2 Esports,G2 Esports,2,Sentinels,0,1 Icebox,TenZ,201,10,/ 14 /,3,50%,140
reyna,Sentinels,G2 Esports,G2 Esports,2,Sentinels,0,2 Split,TenZ,208,17,/ 22 /,5,63%,132
reyna,Sentinels,F4Q,Sentinels,2,F4Q,0,1 Split,TenZ,290,22,/ 16 /,8,86%,196
jett,Sentinels,F4Q,Sentinels,2,F4Q,0,2 Breeze,TenZ,478,32,/ 7 /,1,88%,283
reyna,Sentinels,G2 Esports,Sentinels,2,G2 Esports,1,1 Split,TenZ,169,11,/ 10 /,4,79%,107
reyna,Sentinels,G2 Esports,Sentinels,2,G2 Esports,1,2 Icebox,TenZ,327,24,/ 14 /,4,90%,212
jett,Sentinels,G2 Esports,Sentinels,2,G2 Esports,1,3 Haven,TenZ,249,19,/ 8 /,2,86%,142
reyna,Sentinels,100 Thieves,Sentinels,3,100 Thieves,1,1 Bind,TenZ,289,26,/ 14 /,6,75%,163
jett,Sentinels,100 Thieves,Sentinels,3,100 Thieves,1,2 Breeze,TenZ,265,22,/ 17 /,2,67%,156
jett,Sentinels,100 Thieves,Sentinels,3,100 Thieves,1,3 Haven,TenZ,164,11,/ 11 /,3,68%,109
reyna,Sentinels,100 Thieves,Sentinels,3,100 Thieves,1,4 Split,TenZ,250,14,/ 13 /,9,83%,163
reyna,Sentinels,100 Thieves,Sentinels,2,100 Thieves,0,1 Split,TenZ,246,14,/ 2 /,5,93%,150
jett,Sentinels,100 Thieves,Sentinels,2,100 Thieves,0,2 Haven,TenZ,233,20,/ 14 /,5,81%,132
reyna,Sentinels,Envy,Sentinels,2,Envy,0,1 Icebox,TenZ,333,29,/ 17 /,5,67%,190
jett,Sentinels,Envy,Sentinels,2,Envy,0,2 Haven,TenZ,208,16,/ 21 /,8,63%,121
jett,Sentinels,Rise,Sentinels,2,Rise,1,1 Breeze,TenZ,188,12,/ 8 /,2,75%,114
jett,Sentinels,Rise,Sentinels,2,Rise,1,2 Ascent,TenZ,132,10,/ 16 /,3,55%,73
reyna,Sentinels,Rise,Sentinels,2,Rise,1,3 Bind,TenZ,339,21,/ 9 /,8,88%,211
jett,Sentinels,XSET,Sentinels,3,XSET,1,1 Haven,TenZ,186,13,/ 19 /,7,59%,111
jett,Sentinels,XSET,Sentinels,3,XSET,1,2 Breeze,TenZ,244,17,/ 11 /,7,90%,151
raze,Sentinels,XSET,Sentinels,3,XSET,1,3 Icebox,TenZ,267,23,/ 19 /,2,54%,172
jett,Sentinels,XSET,Sentinels,3,XSET,1,4 Ascent,TenZ,370,30,/ 17 /,5,65%,186
jett,Sentinels,100 Thieves,Sentinels,2,100 Thieves,0,1 Haven,TenZ,312,30,/ 18 /,9,86%,191
jett,Sentinels,100 Thieves,Sentinels,2,100 Thieves,0,2 Breeze,TenZ,285,20,/ 14 /,8,81%,165
jett,Sentinels,Envy,Sentinels,2,Envy,0,1 Breeze,TenZ,160,13,/ 16 /,1,48%,90
reyna,Sentinels,Envy,Sentinels,2,Envy,0,2 Bind,TenZ,347,25,/ 12 /,6,95%,205
jett,Sentinels,Pioneers,Sentinels,2,Pioneers,0,1 Haven,TenZ,325,26,/ 15 /,1,77%,207
reyna,Sentinels,Pioneers,Sentinels,2,Pioneers,0,2 Bind,TenZ,331,21,/ 10 /,7,89%,211
jett,Sentinels,XSET,XSET,2,Sentinels,1,1 Haven,TenZ,233,19,/ 16 /,0,59%,140
raze,Sentinels,XSET,XSET,2,Sentinels,1,2 Icebox,TenZ,377,31,/ 15 /,6,88%,217
raze,Sentinels,XSET,XSET,2,Sentinels,1,3 Split,TenZ,239,17,/ 16 /,3,62%,137
yoru,Sentinels,Gen.G,Sentinels,2,Gen.G,1,1 Bind,TenZ,213,20,/ 19 /,2,63%,137
raze,Sentinels,Gen.G,Sentinels,2,Gen.G,1,2 Icebox,TenZ,310,24,/ 13 /,3,75%,188
jett,Sentinels,Gen.G,Sentinels,2,Gen.G,1,3 Haven,TenZ,216,16,/ 17 /,3,64%,116
reyna,Sentinels,Soniqs,Sentinels,2,Soniqs,1,1 Icebox,TenZ,198,12,/ 16 /,5,65%,136
yoru,Sentinels,Soniqs,Sentinels,2,Soniqs,1,2 Bind,TenZ,191,12,/ 14 /,5,72%,123
jett,Sentinels,Soniqs,Sentinels,2,Soniqs,1,3 Haven,TenZ,356,21,/ 12 /,4,83%,199
reyna,Sentinels,Evil Geniuses,Sentinels,2,Evil Geniuses,0,1 Icebox,TenZ,303,24,/ 16 /,8,87%,169
jett,Sentinels,Evil Geniuses,Sentinels,2,Evil Geniuses,0,2 Haven,TenZ,345,24,/ 14 /,4,79%,207
raze,Sentinels,FNATIC,Sentinels,3,FNATIC,0,1 Split,TenZ,268,24,/ 22 /,8,77%,163
reyna,Sentinels,FNATIC,Sentinels,3,FNATIC,0,2 Bind,TenZ,323,33,/ 19 /,13,93%,197
jett,Sentinels,FNATIC,Sentinels,3,FNATIC,0,3 Haven,TenZ,277,22,/ 20 /,4,75%,176
reyna,Sentinels,NUTURN,Sentinels,2,NUTURN,0,1 Bind,TenZ,273,19,/ 12 /,7,89%,148
jett,Sentinels,NUTURN,Sentinels,2,NUTURN,0,2 Haven,TenZ,296,19,/ 10 /,2,88%,171
reyna,Sentinels,Team Vikings,Sentinels,2,Team Vikings,0,1 Icebox,TenZ,266,19,/ 13 /,4,70%,141
jett,Sentinels,Team Vikings,Sentinels,2,Team Vikings,0,2 Haven,TenZ,309,21,/ 9 /,2,84%,184
reyna,Sentinels,FNATIC,Sentinels,2,FNATIC,0,1 Icebox,TenZ,277,25,/ 18 /,7,75%,144
jett,Sentinels,FNATIC,Sentinels,2,FNATIC,0,2 Haven,TenZ,316,24,/ 16 /,8,78%,197
reyna,Sentinels,Version1,Sentinels,3,Version1,0,1 Bind,TenZ,253,18,/ 12 /,4,81%,142
jett,Sentinels,Version1,Sentinels,3,Version1,0,2 Haven,TenZ,260,21,/ 13 /,4,64%,159
reyna,Sentinels,Version1,Sentinels,3,Version1,0,3 Icebox,TenZ,285,22,/ 19 /,5,59%,169
jett,Sentinels,Cloud9,Sentinels,2,Cloud9,1,1 Haven,TenZ,244,19,/ 16 /,7,71%,133
