MatchID,Date,Patch,EventID,EventName,EventStage,Team1ID,Team2ID,Team1,Team2,Team1_MapScore,Team2_MapScore
28891,2021-07-25 03:30:00,Patch 3.0,580,Champions Tour Philippines Stage 3: Challengers 2,Main Event: Grand Final,3717,4891,Galaxy Racer,SV Empire,3,1
28567,2021-07-25 02:30:00,Patch 3.01,611,Champions Tour Indonesia Stage 3: Challengers 2,Main Event: Consolation Final,2814,3652,Bigetron Astro,Morph Impact,2,0
27298,2021-07-25 02:00:32,Patch 3.01,595,Champions Tour Korea Stage 3: Challengers ,Group Stage (Main): Winner's (C),198,5342,DRX Vision Strikers,Unknown,2,0
25996,2021-07-25 01:00:56,,568,Champions Tour Malaysia & Singapore Stage 3: Challengers 2,Main Event: Grand Final,624,5413,Paper Rex,UwU,1,3
26002,2021-07-24 22:00:56,,568,Champions Tour Malaysia & Singapore Stage 3: Challengers 2,Main Event: Lower Final,5413,2532,UwU,Louvre,2,1
28340,2021-07-24 18:00:00,Patch 3.01,576,Champions Tour North America Stage 3: Challengers 2,Open Qualifier: Quarterfinals,4346,106,DarkZero Esports ,TSM,1,2
26915,2021-07-24 16:00:00,Patch 3.01,534,Champions Tour Brazil Stage 3: Challengers 2,Main Event: Winner's (A),5406,5316,Stars Horizon,NOORG2.0,2,0
27684,2021-07-24 15:00:00,Patch 3.01,517,Champions Tour LATAM Stage 3: Challengers 2,Main Event: LAS: Lower Round 3,2354,4355,Movistar Optix,Motion Team,2,0
28597,2021-07-24 14:30:00,Patch 3.0,545,Champions Tour Turkey Stage 3: Challengers 2,Closed Qualifier: Lower Round 4,2903,2908,Team Aurora,Thunderbolts Gaming,1,2
28598,2021-07-24 14:30:00,Patch 3.0,545,Champions Tour Turkey Stage 3: Challengers 2,Closed Qualifier: Lower Round 4,4669,1675,Digital Athletics,Zero Zone,2,1
28480,2021-07-24 13:30:00,Patch 3.0,546,Champions Tour CIS Stage 3: Challengers 2,Closed Qualifier: Lower Round 4,4621,5240,Crypto Esports,deathwish,2,1
28217,2021-07-24 12:25:00,Patch 3.01,544,Champions Tour Europe Stage 3: Challengers 2,Closed Qualifier: Lower Round 4,2533,472,Alliance,BIG,2,0
28479,2021-07-24 11:00:00,Patch 3.0,546,Champions Tour CIS Stage 3: Challengers 2,Closed Qualifier: Lower Round 4,3361,4518,SMARACIS eSports,AG,1,2
